id,city,type,squareMeters,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,ownership,buildingMaterial,condition,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,sorted_prices
d9cdcbbc565b72e6055e871ae006f798,10,3,94.76,5,3,4,1900,50.2648919,19.0237815,0.69,24,0.382,0.168,0.289,0.298,0.141,0.375,0.219,0,0,1,0,1,0,0,1,"[710700, 710700, 710700, 710700, 710700, 710700, 710700]"
be72fc4f178c19701c5cd08baa367f3d,10,3,34.18,2,2,3,1925,50.2766701,19.0696918,4.05,9,0.249,1.64,0.141,0.098,0.159,0.679,0.081,0,0,1,0,0,0,0,1,"[250000, 250000, 250000, 250000, 250000, 250000, 250000]"
34ccf62b5bf9f3f1b8336cc535c89100,10,3,148.67,5,2,3,1902,50.25467,19.01536,0.6,38,0.283,0.507,0.263,0.353,0.049,0.445,0.161,0,0,1,0,1,0,0,1,"[990000, 990000, 990000, 990000, 990000, 990000, 990000]"
c218888d9dc16bbfb8b8b8b21d2e0c0a,10,3,90.0,3,5,5,1950,50.25595595,19.02043247,0.38,85,0.165,0.459,0.237,0.504,0.034,0.363,0.109,0,0,1,0,0,0,0,1,"[430000, 430000, 430000, 430000, 430000, 430000, 430000]"
2a373530d6f523d504ab00783425243e,11,2,59.0,3,4,4,1995,51.2328,22.5167,3.92,22,0.326,0.996,0.342,0.074,0.422,1.012,0.333,1,0,1,1,0,0,0,1,"[489000, 470000, 470000, 470000, 470000, 470000, 470000]"
41e39a3db9a7da75a4b4c5cf8d0c807b,11,2,83.0,4,2,2,2000,51.27000627,22.56406784,2.5,1,0.611,1.12,1.058,0.72,0.688,0.477,0.501,0,0,0,1,0,0,0,1,"[719000, 719000, 719000, 719000, 719000, 719000, 719000]"
90b7d6e56a8229a06f4ce8b94ad7f69a,11,1,61.74,3,4,9,2018,51.23526905,22.58489772,1.82,16,0.214,0.408,0.511,0.177,0.143,0.542,0.404,0,0,1,1,1,1,0,0,"[649000, 629000, 629000, 629000, 629000, 629000, 629000]"
c164ed6b8a2559a98ea1066a9a4db412,11,2,67.5,4,4,4,1996,51.25332053,22.5172615,3.57,15,0.416,0.528,0.174,0.216,0.183,1.44,0.207,1,0,0,0,1,0,0,1,"[559000, 559000, 559000, 539000, 539000, 539000, 529000]"
f7122984acd32f359bf481f785370991,11,2,72.2,4,2,4,1978,51.23925575,22.54768371,1.68,19,0.419,1.285,0.349,0.053,0.103,0.533,0.167,1,1,0,0,1,0,0,1,"[629000, 629000, 619000, 619000, 619000, 619000, 619000]"
70d2b84ec069a86a2654c0531c532180,11,2,58.6,2,4,4,1989,51.23138855,22.5164974,4.0,21,0.198,1.153,0.26,0.071,0.314,1.155,0.242,1,1,1,0,1,0,0,1,"[520000, 520000, 499000, 499000, 499000, 499000, 499000]"
c84425d9078444e4119f87f46256d9df,11,2,90.0,3,3,4,1970,51.24312611,22.55729198,0.89,38,0.133,0.789,0.523,0.139,0.219,0.182,0.192,0,0,1,1,1,0,0,1,"[830000, 830000, 830000, 830000, 830000, 830000, 830000]"
c29a75edd19bb111913fae4d3dfdc881,11,2,48.07,2,4,4,1970,51.21940675,22.5519333,3.33,0,0.65,1.646,1.057,0.584,0.646,1.161,1.055,0,0,0,0,1,0,0,1,"[333000, 333000, 333000, 333000, 333000, 333000, 333000]"
a9205d30107fd7609edba03870c28e10,11,2,61.2,3,4,4,1980,51.2328,22.5167,3.92,22,0.326,0.996,0.342,0.074,0.422,1.012,0.333,1,1,0,0,1,0,0,1,"[439000, 439000, 439000, 439000, 439000, 439000, 439000]"
